arouse	вызывать, пробуждать	Something aroused their interest.
library	библиотека	I found it in the college library.
link	связь, звено, ссылка	A chain fails at its weakest link.
expose	выставлять, обнажать	She exposed her neck to let me see it was ok.
dig up	откопать	Where did you dig up such an ugly dress?
narrate	повествовать, рассказывать	Grandfather liked to narrate this amazing story.
enable	давать возможность	Their sharp claws enable them to climb trees.
laugh	смеяться	She even laughed at my jokes.
example	пример	It's a great example of Aztec Architecture.
stake	стойка, кол, столб	The witch must be bound to a stake and burned.
decent	приличный, достойный	Find a decent job? No, thanks.
owe	быть обязанным чем-л.	We owe this park to you, sir.
glove	перчатка	Can you read what's on these gloves?
cure	лечить	You can be cured with electroshock therapy.
avoid	избегать	She has avoided you since then.
think over	обдумать	Some strange shit! I need to think it over.
emerge	появляться	Finally, a ship emerged on the horizon.
take	воспринимать	Don't take it seriously. Take it easy.
fisherman	рыбак	It was one of the stories the fishermen tell.
conscious	сознательный, сознающий	So try to be conscious of your emotions.
detect	обнаружить, выявить	A new app can detect an earthquake.
anywhere	где угодно, куда угодно	Now we can go anywhere.
dare	осмелиться	I wouldn't dare jump like that.
anger	гнев	There's no such thing as anger management.
stuff	вещи, всякая фигня	There is a lot of waste stuff in the backyard.
fortunate	удачный	I was fortunate to see this rare phenomenon.
wilderness	глушь, дикая местность	We'll never find you in this wilderness.
shut out	не впускать	They distrust, and therefore shut out the police.
noise	шум	Not a signal, nothing, just white noise.
fat	жир, жирный	He flopped on his fat ass and gripped the burger.
fail	потерпеть неудачу	Den failed to cross the river.
steady	устойчивый	Please check if the ladders are steady.
loss	потеря	In case of loss of things, we'll pocket them.
path	путь	The path led us to the old village of Colburn.
upside down	вверх ногами	I can hang upside down, look.
cozy	уютный	She couldn't wait to get back to her cozy room.
depict	изображать, описывать	In each part, Dante depicts his imaginary voyage.
room	место, пространство	There is just enough room for eight dogs in the car.
lens	линза, объектив	In 1971, soft contact lenses were invented.
tail	хвост	Please leave my tail alone.
can	банка	Hold these cans.
flour	мука	Wheat flour contains dangerous gluten.
magazine	журнал	She looked like a woman I saw in a magazine.
tense	напряжённый, напрягать	The atmosphere was as tense as a guitar string.
way	способ	Look, this is the way to reload it.
split (split, split)	расколоться, распасться	There is a split rock created long ago by glaciers.
ring (rang, rung)	звонить, звонок	The old unconnected phone rang twice.
thumb	большой палец	It's a typical hitchhiker's thumbs-up gesture.
boundary	граница, черта	The river is a boundary between two states.
wage	заработок, оплата	Also, your wages will be modest.
point	смысл, суть	The point is, we don't need immigrants.
favor	благоприятствовать	Fortune favors the brave.
chef	шеф-повар	Chef Lorenzo makes it daily.
considerable	крупный, значительный	The region has considerable reserves of onyx.
multiple	множественный, неединичный	Scissors with multiple blades? For what?
lessen	уменьшать(ся)	The ozone layer lessens the amount of UV.
landmark	ориентир	This is the highest landmark in Gibraltar.
solid	сплошной	Don't cross the double solid line here.
herb	трава	This herb is called dill.
topic	тема, предмет обсуждения	Today's topic is: What is a wingman.
hurt (hurt, hurt)	причинять боль или болеть	You hurt me, sir!
affiliate	филиал, отделение, мл. партнёр	We have affiliates in most states.
anxiety	беспокойство, тревога	I also suffered from depression and anxiety.
wave	волна	Catch the wave before it passes you by.
long ago	давно	It was so long ago, but I remember that day clearly.
space	пространство	There was just enough space to pass.
cord	верёвка, шнур	My sister lost the power cord for my XBox.
vision	зрение или видение	Its vision allows it to see a fish a mile away.
dozen	дюжина	We have a dozen of eggs (not very fresh).
several	несколько	I met several locals on the shore.
terms	отношения	I am on good terms with Shosho.
generous	великодушный, щедрый	Solomon was a generous patron of the arts.
bay	залив	It's on the shore of Hudson Bay in Manitoba.
duty	обязанность, служба	Laws require that lifeguards are on duty.
database	база данных	I stole their database of customers.
prompt	побуждать, подстрекать	Famine and drought prompt them to migrate.
observe	наблюдать	He doesn't know he's being observed.
spill	проливать, рассыпать	This swine always spills something.
brief	краткий	I had a brief conversation with that congressman.
neck	шея	This exercise relaxes neck muscles.
society	общество	British society is multicultural.
weak	слабый	Man is weak, and he lacks intelligence.
result in	привести к	His work resulted in the invention of the telegraph.
day off	выходной	It's so nice to spend a day off in a hammock.
customs	таможня	I was going to bring it through customs.
greet	приветствовать	We greet each other this way.
edge	край	Come on, come closer to the edge.
preserve	сохранять, беречь	It was established to preserve elephants.
handsome	красивый (обычно о мужчинах)	He is handsome and, what is more, very rich.
lack	недостаток, нуждаться	This soil is barren due to a lack of water.
skin	кожа	The surface area of our skin is about 2 sq.meters.
encourage	поддерживать, поощрять	The leader's job is to encourage the team.
discourage	отговорить, демотивировать	She discouraged me from telling him the truth.
harass	тревожить, изводить	The old fart kept sexually harassing me.
task	задание, задача	Our primary task is to block the northern road.
aid	помощь, помогать	12 people and one dog came to the aid.
boil	кипеть, кипятить, варить	The boiling spring is surrounded by slippery mud.
adventure	приключение	Here my Indian adventures started.
weave	плести, ткать	We weave baskets from old magazines.
flavor	вкус, приправлять	The tea is flavored with the finest bergamot.
remove	убрать, удалить	Some 82% of women remove hair from their legs.
shadow	тень	A spooky shadow appeared on the stairs.
suburb	пригород	Milngavie is a dull suburb.
complex	сложный	There is a complex road junction near Seattle.
birth	рождение	Maybe my birth was a mistake.
exploit	использовать, эксплуатировать	They exploit the energy of falling water.
contain	содержать	The homemade mayonnaise contains a raw egg.
bargain	сделка, торговаться	Always bargain. They like it.
tool	инструмент	Use the tools as they are supposed to be used.
agenda	повестка дня	What else is on the agenda?
ancestor	предок	He stopped at the portrait of his noted ancestor.
missile	ракета	This missile is not very reliable.
elaborate (on)	разработать, хорошо проработанный	They elaborated on a complicated dungeon system.
pool	бассейн	I found a strange pendant in the pool.
substitute	заменять, замена	The 14th was substituted with the 99th.
lone	одинокий	Only a lone heron fished near the bank.
amaze	поражать, изумлять	They were amazed to see what I had done.
blonde	блондинка	There are many stereotypes about blondes.
fascinate	очаровывать	I was so fascinated that I forgot about Clara.
violent	яростный, жестокий	Be violent, be strong, be clever.
relief	облегчение	I felt a sense of incredible relief.
exclude	исключать	This kind of food should be excluded.
visible	видимый	The lights on the shore again became visible.
roll	рулон, клубок, свиток и т. д.	Why four rolls?
carry out	выполнить	Now go and carry out the order.
rape	насиловать, изнасилование	The rape of Lucretia led to great events.
manual	руководство, учебник	If nothing helps, read the manual.
honor (honour)	честь, чтить	The Colonel is a man of honour.
miss	скучать	I miss those days when we all were friends.
oil	масло	It takes 20 pounds of olives to make a liter of oil.
field	поле, область	There must be something interesting in this field.
render	делать, придавать свойство	The Gulf Stream renders the climate much milder.
accelerate	ускорять	The horse accelerated to a full gallop.
poke	совать, тыкать	I just poked her with my finger like that.
steel	сталь, стальной	The Heart of Steel is a monument in Rotherham.
bring (brought, brought)	принести	I brought you some firewood.
unit	единица, элемент	The phoenix is the most useless unit in the game.
penalty	наказание	It is the inevitable penalty for your sins.
matter	вещество, материя	Dark matter is an unidentified type of matter.
conclude	заключать, завершать	'It's not a matter of interface', he concluded.
put it down to	объяснить, списать на	You can put it down to bad luck, but it's Providence.
overnight	ночной, с ночёвкой	We decided to stay overnight in the motel.
poverty	бедность, нищета	Nothing is here but poverty and desperation.
declare	объявлять	The next day, the U.S. declared war on Japan.
period	точка (в предложении)	There is an extra period in the sentence.
race	раса	The various races originate from various planets.
lead	вести	All roads lead to Rome.
condition	условие	Prea has perfect conditions for kitesurfing.
bar	пластина, брусок, прут и т. д.	Don't touch my silver bar.
squeeze	сжимать	I felt like a squeezed orange.
cite	упоминать, цитировать	Here Paul cited the fifth commandment.
annual	ежегодный	The annual fair is the best day of the year here.
bow	бант, бабочка	What is better, a bow or a simple tie?
punish	наказывать	Violators were punished severely.
purple	пурпурный, фиолетовый	I recognized her by her purple pants.
handful	горсть	A handful of blackberries was my whole breakfast.
witness	свидетель	The witness could not remember anything.
grade	оценка	Mike's grades are much better than mine.
pipe	трубка	I used to vape; now I smoke pipe.
restrain	ограничивать, удерживать	This dog is restrained by the leash.
constrain	ограничивать (препятствием)	This dog is constrained by the fence.
suspect	подозревать, подозреваемый	I always suspected you of having a hand in it.
converse	разговаривать	Many can argue; not many converse. (с)
liquid	жидкость, жидкий	Liquids can flow and be poured.
resemble	походить	People say pets often resemble their owners.
decide	решить	Now I need to decide what I want.
witness	свидетель	The witness could not remember anything.
grade	оценка	Mike's grades are much better than mine.
pipe	трубка	I used to vape; now I smoke pipe.
restrain	ограничивать, удерживать	This dog is restrained by the leash.
constrain	ограничивать (препятствием)	This dog is constrained by the fence.
suspect	подозревать, подозреваемый	I always suspected you of having a hand in it.
converse	разговаривать	Many can argue; not many converse. (с)
liquid	жидкость, жидкий	Liquids can flow and be poured.
resemble	походить	People say pets often resemble their owners.
decide	решить	Now I need to decide what I want.
flow	поток, течь	The river flows for another 9 km to enter the lake.
approve	утвердить, одобрить (офиц.)	Congress approved the budget.
approve of	одобрять (субъективно)	Josh approved of my plan.
at first	сначала	At first, I was scared to jump, but now I love it.
occasion	случай, событие	The town was decorated on the occasion of Xmas.
describe	описать	Louis described it in very vivid terms.
rope	верёвка	Please untie that rope.
feature	черта, особенность	An unusual feature of this dog is its long tongue.
by far	безусловно	This is by far the most dangerous part of the path.
drum	барабан, барабанить	The monks drum before the prayer.
emit	испускать, издавать	The monster emitted a greenish light.
indeed	в самом деле	Why indeed?
table	таблица	Even a bear can learn the multiplication table.
hostile	враждебный, неприязненный	That guy had a hostile look aimed at me.
option	выбор, вариант	I believe Salisbury is the best option of the four.
significant	значительный	Religion is still a significant part of American life.
make fun of	смеяться, издеваться	They made fun of my awkward movements.
chop	рубить	I'm tired of chopping the wood. Your turn.
general	общий	This is our general opinion here.
awake (awoke, awoken)	проснуться, бодрствующий	Around 4 a.m. I was still awake.
mere	всего лишь	Sign this paper. It's a mere formality.
perform	выполнить, исполнить	Now we perform this trick perfectly.
lawn	газон	This is Bob, 33, a lawn boy.
gentle	мягкий, тихий, нежный и т. д.	Gentle waves came up and lapped my feet.
beyond	вне, свыше	Beyond the clouds, you will find peace of mind.
hide (hid, hidden)	скрывать	He pissed on the rug and hid under the bed.
postpone	отложить, задержать	I'm afraid we have to postpone our plan for a while.
highlight	выделить, подсветить	Highlight definitions and important concepts.
straight	прямой, прямо	The road went straight through the forest.
deal	сделка	It was a good deal for Mr. Ferrell.
delay	задерживать(ся)	My train was delayed for over an hour.
nerd	ботан, задрот	This guy is a nerd. He is a geek.
fan	вентилятор	Please turn on the fan; it is hot in here.
debt	долг	Your debt is expired.
submit	подавать информацию	Don't submit your personal data to them.
raise	растить (детей)	I raised my daughter just like my mom raised me.
start up	основать, установить	I started up my plastic wishbone business in 2012.
below	ниже, под	The Pyramids below us got smaller and smaller.
climb	взбираться	I shouldn't have climbed that rock.
crash	грохот, крушение, разбивать и т. д.	The result was that it failed the first crash test.
consist of	состоять (из)	The dish consists of exactly seven ingredients.
touch	связь, контакт	Don't lose touch with your friends.
gene	ген	You and a chimp have 98 percent common genes.
neighbour (neighbor)	сосед	Hello neighbor, would you do me a favor?
tender	нежный	The kiss was tender but tentative.
tell apart	различать	So how do you tell them apart?
follow	следовать, следить	Follow me, there is something you should see.
grocery	продуктовый	You can buy it in any grocery store.
consult	советоваться	We stopped at the intersection and consulted the map.
vague	смутный	My recollection is vague, and I may be mistaken.
jury	жюри или присяжные	He failed to gain the sympathies of the jury.
announce	объявлять	A town crier announced the birth of the royal baby.
bring back	вернуть	Bring me back my 2007.
stick	палка, тыкать палкой	Stick fighting is an important part of Angampora.
as though	как будто	She looked as though she was waiting for someone.
court	суд	You have to arrive at the courthouse by 8:00 AM.
tear (tore, torn)	рвать	Then he slowly tore the marriage license in half.
watch	часы (наручные)	Don't envy, this watch is fake.
seek (sought, sought)	искать, стремиться	Hal seeks adventures and finds them.
naked	голый	You can be naked here if you want.
strain	напрягать, напряжение	The wire will not stand the strain.
wear	надевать, носить	He was wearing the bracelet that I made for him.
blast	дуновение, порыв	A blast of wind turned the ship sideways.
grain	зерно, крупица	Its grain is short, almost like arborio rice.
drop out of	бросить (учёбу)	After 6 months Steve dropped out of Reed College.
fireplace	камин	Let me get to the fireplace.
quantity	количество	We need to know the quantity of albatrosses.
crawl	ползать	They just crawl and don't bite.
bag	сумка, мешок	These bags with sand are for you.
grave	могила	Then, who is digging on my grave? (с)
make up	выдумать	Don't be afraid. I made up that story.
practice	практика, практиковать	As with everything, practice makes mastery.
entitle	давать название	The story was entitled 'The Falling Grace'.
pile	куча, стопка	I have a pile of these magazines.
surface	поверхность	Once again, the monster appeared at the surface.
duckling	утёнок	Let's feed the duck and the ducklings.
conduct	вести, поведение	The police conducted a raid against immigrants.
lawsuit	тяжба, судебное дело	The lawsuit is lost, you are up the creek.
seize	схватить	They seized her and put her in a police car.
innocent	невинный, невиновный	The innocent look is deceptive.
curious	любопытный	Giraffes are curious and like to explore.
well	колодец	There is an old well beside Paisley Abbey.
environment	среда, окружение	Biking is good for us and for the environment.
clear	ясный, чистый (пр. и перен.)	It was clear and frosty.
envelope	конверт	He impatiently cut the envelope open.
fill in	заполнить	Filling in blanks is the most boring thing.
see off	провожать (в путь)	That day women saw their husbands off to the war.
credible	заслуживающий доверия	It's the only credible source on the subject.
respond	отвечать	This is how I would respond to your question.
gain	получать, выигрывать	Mrs. Murray gained a million dollars.
anymore	больше не	Don't call me anymore!
urgent	срочный	However, Mr. Harley had an urgent appointment.
honey	мёд	This honey is delicious, it's not for you.
match	соответствие, нечто соответствующее	This warrior is a match for five.
equip	оснащать, снаряжать	They are equipped with protective vests as well.
bump	шишка, выпуклость	After the speed bump, turn right.
island	остров	I planned to spend a couple of days on the island.
hand over	передать	It's time to hand the baton over.
proper	правильный, надлежащий	Use the proper weapon at the proper time.
enhance	повысить, усилить, расширить	This really enhances conscience.
nuclear	ядерный	A nuclear explosion is a magnificent spectacle.
tournament	турнир	We're in the middle of a tournament here.
stem	стебель	Rhubarb stems are used in pie fillings.
inner	внутренний	The inner ear is made up of a bony labyrinth.
outer	внешний	The outer ear is the only visible part.
inspire	вдохновить, внушить	No one inspired Alfred as she did.
spare	щадить, избавить	Please spare me from your opinion.
capable	способный к ч-л.	Cats are capable of seeing in the dark.
dry up	пересохнуть, иссякнуть	The river dried up. We can easily get to the city.
brick	кирпич	All in all, you're just another brick in the wall. (с)
move	переезжать	We are moving to Alaska. Stupid decision.
garlic	чеснок	Pack some garlic against vampires.
Christmas	рождество	Merry Christmas, nearly everybody! (с)
trial	испытание, пробный	Trials on animals proved the drug to be useless.
nightmare	кошмар	Freddie came in nightmares.
plant	растение, сажать	Poison ivy is a very easily identified plant.
resolute	решительный, твёрдый	He showed resolute will and patience.
victim	жертва	It's a victim of a porcupine attack.
appeal	обращаться, взывать	She said she would appeal to the Supreme Court.
barely	едва, лишь только	The water barely comes out of the faucet.
issue	издать, выпустить, выпуск	Mario bought a new issue of a sports newspaper.
per	(кол-во) на (единицу)	MPH stands for 'miles per hour'.
alter	изменять	We had to alter the course to avoid it.
pound	фунт	Check it out, it's a one-pound Snickers Bar.
seat	место, сиденье	Why sleep on the floor when the seats are free?
candy	конфеты	Mom, buy me some candy pleaseee.
meanwhile	тем временем	Meanwhile, in Australia…
railway	железная дорога	I crossed the railway bridge on foot.
closet	стенной шкаф	My friend Theo has a full closet of games.
violate	нарушать	They repeatedly violated the border.
front	перед, передний	We play in the front yard, not on the street
take care	позаботиться, заняться	Thank you for taking care of the bonfire.
authorities	органы власти	The local authorities don't know what's going on.
matter	дело, вопрос	It was a matter of time to find someone.
thank	благодарить	He just thanked us for the service and went off.
get through	дозвониться	I can't get through to her. Her phone is off.
cup	чашка, кружка, кубок	Let's take a tea cup ride!
take off	снять	No, Jenny, don't take it off!
devote	посвятить, уделить	She gave up her job and devoted herself to art.
assume	принимать на себя	Elizabeth assumed the crown on June 2, 1953.
array	ряд, порядок, строй	He laid out an array of 80 tourmanium stones.
shelter	укрытие, убежище	He remembered seeing an old concrete shelter.
contrary	противоположный, вопреки	A lie usually is contrary to the truth.
diminish	уменьшаться	Farther west, the amount of snow diminished.
offer	предлагать, предложение	This is the offer you can't refuse.
set out	разъяснять	Let me set out my conditions in advance.
complain	жаловаться	Lili complained of stupid dreams.
favor (favour)	услуга	And now you come to ask me for a favor?
commitment	приверженность	His commitment to his mission was unshakeable.
intervene	вмешиваться	If we don't fix it, aliens will intervene.
error	ошибка	It gives out an error. What can we do?
hike	поход, ходить в поход	It was the most remarkable hike of that summer.
blink	мерцать, мигать	The city lights were blinking in the distance.
strip	полоса, лента	Cut or tear strips of fabric.
curl	скручивать, клубиться, завиток	Seashells usually curl clockwise.
concrete	бетон, бетонировать	She hated living in the concrete jungle.
fold	сворачивать, складывать	I'm gonna fold a little bird out of paper.
science	наука	All science is based upon experiment.
contest	соревнование, конкурс	I've won this contest three years in a row.
bond	связь, узы, соединение	This type of bond is called Ionic Bond.
retreat	отступать	The remnants of the French army retreated.
suspend	приостановить, подвесить	They stopped, suspended in the air.
fry	жарить	Pass me the most fried sausage.
domestic	домашний	The domestic pig is a subspecies of the boar.
ease	лёгкость, облегчать	With ease, he jumped to the next rock.
graduate	выпускник, выпускаться	Harry and his friends graduated from Hogwarts.
patch	заплатка, накладка, латать	How many patches are on your patched jeans?
tire (tyre)	шина	Put cable chains on the tires.
unless	если не	You'll never know unless you try.
shift	сменить, сдвинуть	Now shift the car into first gear.
hood	капот, кожух	I wanna look under the hood of the Tesla.
waste	тратить (впустую)	The whole project was a waste of money.
notice	заметить	In the distance, I noticed a strange object.
enormous	огромный	Godzilla is an enormous dinosaur-like reptile.
hook	крюк, зацеплять	This hook is for a big fish. Maybe tuna.
partisan	сторонник	Mbaga is a partisan of the opposite party.
angry	злой	Have you played angry birds recently?
measure	мера, мероприятие	Amputation is an extreme measure of treatment.
doubt	сомневаться, сомнение	I doubt you will be able to get through all of it
stiff	жёсткий, негнущийся	I've always ridden stiff snowboards.
preach	проповедовать	On Friday he preached in the mosque.
come off	выйти, получиться	We tried to call a spirit, but nothing came off.
rail	рельс, перила	She slid down the rail as she always did.
male	мужской	A stallion is a male horse.
female	женский	A mare is a female horse.
proof	доказательство (неисч.)	This is incontrovertible proof.
produce	производить	The Chinese produce a lot of stuff.
matter	иметь значение	Size does matter.
tag	этикетка, ярлык	Let's change the price tag.
subtle	тонкий, неуловимый	Her subtle smile can drive you crazy.
nurse	медсестра, нянька	Choi was a nurse in the local hospital.
wake (up)	просыпаться или будить	Wake me up when September ends. (c)
soil	почва	Fortunately, we found no lead in the soil.
quiet	тихий, спокойный, тишина	I need a quiet place where there is no you.
represent	представлять	We represent the law here.
dispute	спор, спорить	Fruitless disputes are to be avoided.
couch	диван	I spent the next day on the couch.
trade	торговля, торговый	The world Trade Center was built in the 1980s.
affair	дело, занятие	This is their affair and your affair, not mine .
term	срок, период	A US President is elected to a 4-year term.
give a ride	подвезти	Hey sir, would you give me a ride?
as well	также	This cleaning agent removes odor as well.
twist	скручивать	You can twist a wire with a drill.
handle	рукоятка	The handle is broken, I can't get in.
remain	оставаться	The door remained closed all day.
take place	происходить, бывать	Many things take place in Hong Kong.
upset	расстраивать, расстроенный	Your look upsets your grandma.
inspect	проверять, осматривать	I inspected the machine and found no problems.
authorize	дать полномочия, поручение	King Henry himself authorized him.
pigeon	голубь	Pigeons shit on monuments all over the world.
alert	тревога, бдительный	The Army was put on alert.
increase	увеличивать(ся), увеличение	First, everything was ok, the index increased.
decrease	уменьшать(ся), уменьшение	Unfortunately, now it's decreasing.
inquire	узнавать, интересоваться	Go up there and inquire about the flight.
false	ложный, неверный	Again, it was a false alarm.
either	либо	Either come in and help or go away.
echo	эхо, отголосок, отражаться	What you hear is the echo of the actual sound.
stack	стопка, куча, складывать	The wood was split and stacked over there.
label	метка, ярлык, метить	This label is familiar to everyone.
neither	ни один из двух	Neither of the t-shirts is mine.
sale	продажа, сбыт	This house is for sale. Like it?
bat	бита	I don't play baseball, l but I have a bat.
flat	плоский, ровный	What are they all doing on that flat rock?
limit	ограничивать, ограничение	There is a speed limit, but nobody cares.
head off	выйти, отправиться	Now I'm heading off to the West End.
rural	сельский	Rural life is boring and too monotonous.
compel	вынуждать, заставлять	Something compelled me to keep moving forward.
boost	повышать, усиливать	Carrots boost hair growth.
grin	ухмыляться, ухмылка, оскал	This grin doesn't bode well.
tremendous	громадный, страшный	It was buried beneath a tremendous avalanche.
pad	подушечка пальца, лапы	Take a feather and tickle his pads.
anticipate	ожидать	I anticipated something would happen to me.
pattern	шаблон, образец	Take a look at the repeating patterns on the wall.
set smb up with	устроить, организовать	Yes, I can set you up with this job.
oven	печь, духовка	I burned all your papers in the oven.
anxious	озабоченный, встревоженный	He is anxious about the oil.
shift	смена (на работе)	I usually work the night shift, and I like it.
meal	еда	I hate it when people post their meals.
in advance	заранее	Send me some money. Thank you in advance.
further	дальнейший, далее	Holt is one mile further on.
return	возвращаться	But after a month, she returned to her ex.
chop down	срубить (дерево)	Get a machete. Chop down a tree. Build a house.
chop up	порезать (на кусочки)	Get a knife. Chop up the vegetables. Make a salad.
prior	предварительный, предшествующий	This all happened two days prior to Christmas.
silk	шелк	The real silk goes for around $30/meter.
line	строка	I read these lines over and over again.
lap	колени	The cat was lazily lying on her lap.
bind (bound, bound)	связывать	Your leg is bound to the leg of your partner.
mean	неважный, посредственный	He was a mean, drunk son of a bitch.
reach	достичь	Fortunately, I reached the top unnoticed.
once	однажды, когда-либо	Once I was a puppy, now I am a wolf.
vice	порок, недостаток	Each sculpture represents one of the vices.
light (lit, lit)	зажигать	The fire was lit at sunset on Midsummer Eve.
occupy	занимать	Fort Manoel occupies almost the whole island.
according to	в соответствии	According to the map, it's around here somewhere.
out loud	вслух	I said it out loud? Sorry I didn't mean to.
alive	живой	Strange as it is, she was still alive.
startle	испугать (неожиданностью)	Her yell startled birds from a snowy tree.
get	становиться	Stretch. Warm-up! Get ready to run!
catch (caught, caught)	ловить	The dog was faster and caught him easily.
shame	стыд, позор	For shame! How could I even say that!?
challenge	вызов, необычная задача	Black bear hunting is a real challenge.
mixture	смесь	Thai green curry is a mixture of four components.
endure	выдерживать	The fort endured heavy bombardment until 2 June.
board	совет, коллегия	The school board couldn't decide what to do.
mate	товарищ, компаньон	It's composed by my band mate Eamon.
compound	состав, составной	The compound has a strong smell of ammonia.
bless	благословлять	Brahman Sonutarra blessed me.
might	мощь	Koreans like to display their military might.
variety	разнообразие, множество	Old Firat sells a variety of sweets.
sole	единственный	Surgeon Brydon was the sole survivor.
comprehensive	исчерпывающий, всесторонний	I have made a comprehensive calculation. Look.
heal	лечить, заживать	Preparing the healing tincture is not so difficult.
pipe	труба	I've been hiding in the pipe, they didn't find me.
cool	прохладный, свежий	The cool water energizes.
point	точка	This is the point we are talking about.
beg	просить	Stop begging. You will get nothing more.
spell	заклинание, чары	I'd put a spell on you if I could.
paper	бумага, документ	It takes a long time, it takes a lot of paperwork.
charm	обаяние, очаровывать	All her charms were artificial.
break out	вспыхнуть, разразиться	Protests broke out on Monday.
heat	тепло, нагревать	The desert wind brings dry heat.
particular	частный, конкретный	Buddha meditated under this particular tree.
score	счёт, очко, балл	The game ended in a draw with a score of 2:2.
combine	соединять(ся)	Hydrogen and oxygen combine to form water.
mill	мельница или фабрика	The Netherlands is famous for its windmills.
move over	подвинуться	Move over, boys! I'm kinda tired.
rock	камень, скала	Climbing this rock is prohibited.
fair	светлый	Lisa is a fair-haired beauty. But this is not Lisa.
fall for	вестись	MLM? Don't fall for that shit.
frank	откровенный	Frankly speaking, I don't trust economists.
rip	рвать	He rips the leaves apart. Then he eats them.
arrive	прибывать	Ivan arrived on a flying carpet.
amend	исправить, улучшить	Our constitution needs amending.
crush	раздавливать, дробить	Crush the parsley in a mortar into a paste.
accident	случайность	It happened by mere accident.
facility	сооружение, объект	Then they showed me some monstrous facility.
means	средство	The bike is the fastest means of transportation here.
focus	сосредоточить (ся)	Focus all your attention on this crystal.
knock	стучать	In the early morning, someone knocked on my door.
give up	отказаться, сдаться	Ok, you are right, I give up.
bend (bent, bent)	изгибать, изгиб	Below the village the river bends to the west.
clarify	прояснять	Don't laugh. Let me clarify my idea.
rescue	спасать, спасение	It was rescued from icy water in Lakewood.
tackle	принадлежности, снаряжение	One can never have too much fishing tackle.
retire	уходить в отставку, на пенсию	Bernard retired from the Navy with honors.
belly	живот	The belly dance is the oldest recorded dance.
get off	выходить (из транспорта)	I will not take you farther. Get off.
approach	приближаться, подходить	The train is approaching. Are you with me?
slap	шлёпать, пощечина	The slap was so strong that she lost her balance.
coat	покрывать	Then we coat it with a layer of paint.
raise	поднять, повысить	Nancy raised her hands and showed 'victory'.
uncle	дядя	My uncle taught me to fight.
fluid	жидкий, текучий	It's improbable that any perfect fluid exists.
issue	вопрос, проблема	I'm afraid I have issues with digestion.
educate	воспитывать, обучать	Educate yourself no matter how old you are.
past	мимо	I walked past them as quietly as I could.
benefit	польза, создавать пользу	I'll tell you how to benefit from volatility changes.
none	никакой, ни один	None of us knew where that stone was.
undergo	пройти через, подвергнуться	It's currently undergoing a massive reconstruction.
coat	покрывать	Then we coat it with a layer of paint.
raise	поднять, повысить	Nancy raised her hands and showed 'victory'.
uncle	дядя	My uncle taught me to fight.
fluid	жидкий, текучий	It's improbable that any perfect fluid exists.
issue	вопрос, проблема	I'm afraid I have issues with digestion.
educate	воспитывать, обучать	Educate yourself no matter how old you are.
past	мимо	I walked past them as quietly as I could.
benefit	польза, создавать пользу	I'll tell you how to benefit from volatility changes.
none	никакой, ни один	None of us knew where that stone was.
